#time	diode A	diode B
1518876997.5	184.942581	184.889282
1518877002.6	184.936935	184.880493
1518877007.6	184.933197	184.875229
1518877012.7	184.928894	184.873672
1518877017.8	184.923431	184.871826
1518877022.8	184.918625	184.865891
1518877027.9	184.914368	184.859573
1518877033.0	184.910446	184.852463
1518877038.0	184.907455	184.851440
1518877043.1	184.898468	184.847275
1518877048.2	184.892273	184.840881
1518877053.2	184.886063	184.831406
1518877058.3	184.880905	184.823029
1518877063.4	184.875763	184.820496
1518877068.4	184.868210	184.816772
1518877073.5	184.861465	184.809967
1518877078.6	184.857407	184.801636
1518877083.6	184.853256	184.795227
1518877088.7	184.848312	184.793274
1518877093.8	184.840225	184.788849
1518877098.8	184.834915	184.782990
1518877103.9	184.830002	184.775299
1518877109.0	184.824783	184.767349
1518877114.0	184.818848	184.762619
1518877119.1	184.812012	184.760437
1518877124.2	184.806824	184.754303
1518877129.2	184.800262	184.746017
1518877134.3	184.794693	184.737457
1518877139.4	184.788818	184.734238
1518877144.4	184.783096	184.731750
1518877149.5	184.776550	184.725357
1518877154.6	184.773682	184.717651
1518877159.6	184.769302	184.712051
1518877164.7	184.765747	184.711212
1518877169.8	184.759201	184.708054
1518877174.8	184.752472	184.700623
1518877179.9	184.747925	184.691772
1518877185.0	184.741684	184.683731
1518877190.0	184.735504	184.680008
1518877195.1	184.726715	184.674759
1518877200.1	184.720810	184.668900
1518877205.2	184.717056	184.662430
1518877210.3	184.713486	184.655518
1518877215.3	184.706528	184.649338
1518877220.4	184.701660	184.648697
1518877225.5	184.694809	184.643936
1518877230.5	184.687576	184.633270
1518877235.6	184.682510	184.625641
1518877240.7	184.678787	184.622147
1518877245.7	184.672073	184.619583
1518877250.8	184.666336	184.615158
1518877255.9	184.660431	184.606659
1518877260.9	184.655716	184.598618
1518877266.0	184.651947	184.595306
1518877271.1	184.643921	184.590576
1518877276.1	184.639801	184.588577
1518877281.2	184.633148	184.580246
1518877286.3	184.628784	184.571991
1518877291.3	184.623123	184.565689
1518877296.4	184.615875	184.562393
1518877301.5	184.610016	184.559067
1518877306.5	184.605164	184.551056
1518877311.6	184.599472	184.542297
1518877316.7	184.594009	184.537399
1518877321.7	184.587540	184.534241
1518877326.8	184.579376	184.528732
1518877331.8	184.574631	184.520996
1518877336.9	184.568665	184.511810
1518877342.0	184.564713	184.506683
1518877347.0	184.558563	184.502899
1518877352.1	184.552170	184.500977
1518877357.2	184.547073	184.494949
1518877362.2	184.542374	184.485962
1518877367.3	184.537872	184.479721
1518877372.4	184.530914	184.474274
1518877377.4	184.523300	184.471985
1518877382.5	184.516861	184.464630
1518877387.6	184.511444	184.456604
1518877392.6	184.505814	184.448044
1518877397.7	184.500244	184.444824
1518877402.8	184.493774	184.442032
1518877407.8	184.486908	184.435654
1518877412.9	184.482544	184.428009
1518877418.0	184.477341	184.419861
1518877423.0	184.470978	184.414520
1518877428.1	184.463013	184.411285
1518877433.2	184.456772	184.405197
1518877438.2	184.453156	184.398926
1518877443.3	184.448883	184.391006
1518877448.4	184.442612	184.384827
1518877453.4	184.434998	184.382263
1518877458.5	184.429962	184.378983
1518877463.5	184.425507	184.371109
1518877468.6	184.419327	184.362579
